precision,accuracy,noise accuracy,batch_size,learning_rate,avg_cka,avg_EF,net_efficiency,trace,eigenvalue
6,0.7826522588729858,0.5984,32,0.0015625,0.8253097302383846,"{'EF_trace_w': array([7.4393606 , 0.53425485, 0.56957597, 0.43015528, 0.23249175,
       0.77320033, 0.3706232 , 0.54927206, 0.4418956 , 0.26153222,
       0.17146394, 0.49519247, 0.3463751 , 0.24820045, 0.03997778,
       1.2102298 ], dtype=float32), 'EF_trace_a': array([0.6580746 , 0.20317318, 0.12652954, 0.18025652, 0.1079939 ,
       0.1079939 , 0.17113234, 0.13085996, 0.17432308, 0.08377622,
       0.08377622, 0.4823878 , 0.05185558, 0.18968442, 0.11995016],
      dtype=float32), 'avg_EF': 0.4316873}",,0,0
6,0.825120210647583,0.6584,64,0.0015625,0.8594379954867892,"{'EF_trace_w': array([12.635122  ,  1.265715  ,  1.0347914 ,  0.6615996 ,  0.51204956,
        0.96143264,  0.88642055,  0.9951324 ,  0.69860905,  0.42287612,
        0.25177124,  0.63557404,  0.45629102,  0.34339178,  0.05359983,
        1.1988304 ], dtype=float32), 'EF_trace_a': array([0.46989125, 0.2464399 , 0.1614279 , 0.13427062, 0.11121657,
       0.11121657, 0.2726506 , 0.17746006, 0.18213299, 0.09480576,
       0.09480576, 0.39790148, 0.0514878 , 0.1681319 , 0.09675323],
      dtype=float32), 'avg_EF': 0.68338895}",,0,0
6,0.8080929517745972,0.6297,128,0.0015625,0.7345049844847785,"{'EF_trace_w': array([19.074171  ,  1.8331047 ,  1.8311127 ,  1.2578391 ,  1.0439712 ,
        1.462204  ,  1.6365124 ,  2.5309548 ,  1.8175254 ,  1.1409583 ,
        0.49666747,  1.2444476 ,  0.965312  ,  0.7672173 ,  0.0965188 ,
        1.6325331 ], dtype=float32), 'EF_trace_a': array([0.7599156 , 0.22898605, 0.14985932, 0.16626096, 0.11671416,
       0.11671416, 0.3271086 , 0.21987557, 0.26042068, 0.09847882,
       0.09847882, 0.40356702, 0.05818958, 0.18076149, 0.07701382],
      dtype=float32), 'avg_EF': 1.3110157}",,0,0
6,0.8133223652839661,0.6377,256,0.0015625,0.810019185145696,"{'EF_trace_w': array([74.69736   ,  6.306587  ,  5.4147906 ,  6.690585  ,  3.8634665 ,
        4.3702636 ,  4.821827  ,  6.110343  ,  5.576317  ,  3.1281497 ,
        1.0127599 ,  2.7010434 ,  1.4377234 ,  1.1274799 ,  0.21222049,
        2.1623344 ], dtype=float32), 'EF_trace_a': array([0.67808515, 0.21962042, 0.1353566 , 0.18421222, 0.09738129,
       0.09738129, 0.21500513, 0.16245511, 0.16923825, 0.06285422,
       0.06285422, 0.20285872, 0.0228009 , 0.05071387, 0.04794196],
      dtype=float32), 'avg_EF': 3.3879907}",,0,0
6,0.8190104365348816,0.6593,512,0.0015625,0.8268781006336212,"{'EF_trace_w': array([180.1349   ,  19.149055 ,  14.8377905,   9.878198 ,   8.430601 ,
         6.6481223,   9.391603 ,  11.28451  ,  10.951388 ,   6.4448633,
         1.4599144,   3.9924781,   1.8699961,   1.6580768,   0.3219518,
         2.3665566], dtype=float32), 'EF_trace_a': array([0.5100442 , 0.22828726, 0.17355089, 0.12593272, 0.10707977,
       0.10707977, 0.18340096, 0.16156769, 0.1595772 , 0.06301157,
       0.06301157, 0.12025655, 0.01660792, 0.03167351, 0.04183244],
      dtype=float32), 'avg_EF': 6.0127563}",,0,0
6,0.795166015625,0.6312,1024,0.0015625,0.8197439644071791,"{'EF_trace_w': array([298.86197   ,  34.930347  ,  25.053452  ,  39.644848  ,
        14.794937  ,   7.750535  ,  23.402573  ,  23.505821  ,
        23.51881   ,  13.010954  ,   2.5502243 ,   9.495419  ,
         5.0828075 ,   4.3606634 ,   0.55696654,   2.0426211 ],
      dtype=float32), 'EF_trace_a': array([0.70279664, 0.26745966, 0.20864812, 0.19455473, 0.1395997 ,
       0.1395997 , 0.332262  , 0.21684676, 0.21138673, 0.0834772 ,
       0.0834772 , 0.25574163, 0.03658073, 0.06665124, 0.04762917],
      dtype=float32), 'avg_EF': 11.693481}",,0,0
7,0.7700320482254028,0.6196,32,0.0015625,0.850680712196562,"{'EF_trace_w': array([7.1400375 , 0.6533831 , 0.52635247, 0.52996516, 0.31134945,
       0.58642465, 0.49549127, 0.60725677, 0.40469855, 0.23995133,
       0.16696648, 0.33869636, 0.24432877, 0.229752  , 0.03489495,
       1.2382128 ], dtype=float32), 'EF_trace_a': array([0.6433751 , 0.25305963, 0.16357866, 0.19430672, 0.10879232,
       0.10879232, 0.33740458, 0.12902743, 0.18304369, 0.0800238 ,
       0.0800238 , 0.31358737, 0.04617179, 0.20706424, 0.11659837],
      dtype=float32), 'avg_EF': 0.42040876}",,0,0
7,0.7714343070983887,0.6082,64,0.0015625,0.8124120467238957,"{'EF_trace_w': array([14.158223  ,  0.900438  ,  0.7959239 ,  1.3325135 ,  0.6667623 ,
        1.0623322 ,  0.8617204 ,  1.1707002 ,  0.8758753 ,  0.5428065 ,
        0.25703833,  0.67283857,  0.48270622,  0.39046878,  0.05442435,
        1.253937  ], dtype=float32), 'EF_trace_a': array([0.880103  , 0.21238941, 0.14919552, 0.3818363 , 0.108774  ,
       0.108774  , 0.2579137 , 0.18624343, 0.2365712 , 0.09007471,
       0.09007471, 0.38712087, 0.05070115, 0.19458342, 0.08507179],
      dtype=float32), 'avg_EF': 0.7509075}",,0,0
7,0.8024839758872986,0.6441,128,0.0015625,0.809508247507943,"{'EF_trace_w': array([33.66772   ,  2.7130446 ,  2.4151647 ,  3.051657  ,  1.4267702 ,
        2.3813171 ,  2.2510297 ,  2.6827595 ,  2.1507664 ,  1.3721999 ,
        0.5485193 ,  1.3222337 ,  0.8494694 ,  0.65448475,  0.10306014,
        1.7428875 ], dtype=float32), 'EF_trace_a': array([0.55727375, 0.26747173, 0.17984977, 0.2519719 , 0.13061897,
       0.13061897, 0.2605643 , 0.1972701 , 0.19394167, 0.08706307,
       0.08706307, 0.30875906, 0.03499943, 0.12143676, 0.07374147],
      dtype=float32), 'avg_EF': 1.6477368}",,0,0
7,0.8098273277282715,0.6301,256,0.0015625,0.7654337949222989,"{'EF_trace_w': array([120.54549   ,  13.641914  ,   5.6816244 ,   5.152552  ,
         2.760534  ,   3.8261201 ,   4.1554346 ,   5.5065465 ,
         4.8345184 ,   2.9316797 ,   1.2562323 ,   2.873631  ,
         1.8112264 ,   1.2824594 ,   0.20730728,   2.0266776 ],
      dtype=float32), 'EF_trace_a': array([0.45176703, 0.34921187, 0.1791602 , 0.13257599, 0.12293164,
       0.12293164, 0.26063251, 0.19542864, 0.21033093, 0.08073001,
       0.08073001, 0.26240247, 0.03791176, 0.08390325, 0.05833868],
      dtype=float32), 'avg_EF': 3.5298777}",,0,0
