precision,avg_EF,batch_size,learning_rate
2,"{'EF_trace_w': array([1.6512934 , 0.21986619, 0.19541776, 0.31104004, 0.14792712,
       0.32206646, 0.6633408 , 0.85095674, 0.67365664, 0.42811415,
       0.21435197, 1.0005774 , 0.7889981 , 1.1028619 , 0.14556958,
       2.7816272 ], dtype=float32), 'EF_trace_a': array([0.08881159, 0.06741907, 0.016164  , 0.0853788 , 0.01288968,
       0.01288968, 0.46953216, 0.09343966, 0.19200894, 0.06136802,
       0.06136802, 0.5503595 , 0.06014524, 0.5400987 , 0.25096107],
      dtype=float32), 'avg_EF': 0.49486184}",64,0.0015625
2,"{'EF_trace_w': array([2924.342    ,   18.112366 ,    5.6370974,    0.       ,
          0.       , 1127.9796   , 1879.868    , 2340.3657   ,
       1509.2567   , 1526.7235   ,  562.2861   , 2385.154    ,
       1802.2605   , 1695.3851   ,  214.38675  , 1142.372    ],
      dtype=float32), 'EF_trace_a': array([1572.1901  ,   10.683604, 1543.0605  ,    0.      , 4106.331   ,
       4106.331   , 1260.5466  ,  597.10406 , 4247.8994  ,  535.3429  ,
        535.3429  , 4875.739   ,  250.08607 , 2959.3135  ,  609.9614  ],
      dtype=float32), 'avg_EF': 0.0}",128,0.1
2,"{'EF_trace_w': array([137.7818   ,  10.261663 ,  13.241417 ,   1.5464741,   1.9034046,
        38.394394 ,  88.17768  ,  58.68647  ,  44.909065 ,  26.77014  ,
        11.203159 ,  33.135174 ,  33.900684 ,  45.361603 ,   5.10433  ,
        71.77581  ], dtype=float32), 'EF_trace_a': array([ 19.81213  ,  12.595419 ,  14.241381 ,   2.1642098,  22.592062 ,
        22.592062 , 133.05898  ,  14.001947 ,  41.018036 ,  10.6803465,
        10.6803465,  83.504974 ,  10.740884 ,  98.86426  ,  28.664505 ],
      dtype=float32), 'avg_EF': 21.877022}",128,0.05
2,"{'EF_trace_w': array([10212.957  ,  1335.6372 ,   334.5193 ,   900.44446,   353.26727,
        1422.7664 ,  4758.874  ,  3273.4104 ,  2393.4312 ,   839.3046 ,
         417.16907,  3240.5786 ,  2398.9114 ,  2383.8728 ,   420.42072,
         809.29315], dtype=float32), 'EF_trace_a': array([ 471.52643,  571.97784,  411.24338, 1960.5939 ,  692.2734 ,
        692.2734 , 2537.1243 ,  938.96844, 3032.055  ,  749.17706,
        749.17706, 9975.994  ,  421.86694, 9796.103  ,  433.89383],
      dtype=float32), 'avg_EF': 1378.4829}",128,0.025
2,"{'EF_trace_w': array([87.72477  , 24.437325 , 11.408547 , 18.629663 ,  4.8400373,
       20.861153 , 42.82971  , 34.51297  , 35.32518  , 17.266075 ,
        7.8230314, 35.19021  , 30.564428 , 36.102238 ,  5.5736837,
       58.544132 ], dtype=float32), 'EF_trace_a': array([ 10.726302 ,   7.943989 ,   2.5022264,  15.718416 ,   3.0420685,
         3.0420685,  45.359886 ,  14.936951 ,  54.79959  ,   7.429023 ,
         7.429023 , 112.30484  ,   8.392132 , 166.86108  ,  14.038445 ],
      dtype=float32), 'avg_EF': 22.432287}",128,0.0125
2,"{'EF_trace_w': array([28.795408 ,  4.75113  ,  3.7095942,  6.0922804,  4.949035 ,
        8.943526 , 10.985535 , 11.814811 , 12.082635 ,  6.1043186,
        2.067209 , 10.982092 ,  9.580942 , 13.724485 ,  1.5892439,
       19.885199 ], dtype=float32), 'EF_trace_a': array([ 1.5915929 ,  2.0113072 ,  0.39999506,  8.109158  ,  0.38070726,
        0.38070726, 14.361547  ,  3.5464785 , 12.859934  ,  2.3353844 ,
        2.3353844 , 26.788717  ,  1.6359278 , 30.521017  ,  3.7153058 ],
      dtype=float32), 'avg_EF': 7.598884}",128,0.00625
2,"{'EF_trace_w': array([5.602001  , 1.7204387 , 1.1764964 , 2.2835631 , 0.54725814,
       1.087939  , 1.7845333 , 2.7183037 , 2.001053  , 1.0138357 ,
       0.7306682 , 2.6392052 , 2.4717155 , 2.5014117 , 0.34691602,
       3.8533666 ], dtype=float32), 'EF_trace_a': array([0.32312545, 0.22943413, 0.05854028, 0.59723186, 0.04786254,
       0.04786254, 1.0923276 , 0.36185977, 0.92113817, 0.21166539,
       0.21166539, 2.2593021 , 0.23305577, 1.966387  , 0.76666796],
      dtype=float32), 'avg_EF': 1.6272979}",128,0.003125
2,"{'EF_trace_w': array([8.521155  , 1.9841744 , 1.2098721 , 2.285491  , 0.84429973,
       1.1864417 , 1.9243021 , 2.4449682 , 2.4195573 , 1.2433164 ,
       0.55484295, 1.8981719 , 1.4490485 , 1.8574101 , 0.2638262 ,
       2.2351935 ], dtype=float32), 'EF_trace_a': array([0.20957747, 0.10230073, 0.03588112, 0.14239512, 0.02141244,
       0.02141244, 0.20456004, 0.10882489, 0.19883424, 0.06187544,
       0.06187544, 0.33027962, 0.04073606, 0.22470142, 0.21473242],
      dtype=float32), 'avg_EF': 1.5498273}",128,0.0015625
2,"{'EF_trace_w': array([309.66104  ,  44.55182  ,  38.696037 ,  16.883959 ,   1.9199363,
        57.2421   ,  16.645763 ,  21.811068 ,  26.023434 ,  19.423449 ,
        16.552452 ,  32.3413   ,  18.883858 ,  40.564194 ,   5.7101774,
        93.28958  ], dtype=float32), 'EF_trace_a': array([33.891296 ,  8.807284 ,  6.8555236,  2.3744812, 10.75186  ,
       10.75186  , 10.590259 , 13.392311 , 61.265636 ,  8.558437 ,
        8.558437 , 76.364944 , 12.754657 , 62.172935 , 48.683636 ],
      dtype=float32), 'avg_EF': 25.848265}",256,0.1
2,"{'EF_trace_w': array([161.98724  ,   1.2661196,   0.7515081,  36.93417  ,  28.462368 ,
       159.40178  ,  99.96587  ,  91.47229  ,  90.68706  ,  66.913475 ,
        44.635414 ,  95.99582  ,  63.698166 ,  81.80002  ,   9.171619 ,
       158.43011  ], dtype=float32), 'EF_trace_a': array([ 19.641119 ,   1.1546854,  31.918652 ,  27.16759  ,  31.591644 ,
        31.591644 , 111.307    ,  44.757557 ,  65.7428   ,  30.738361 ,
        30.738361 , 288.47815  ,   8.307438 , 423.51724  ,  41.06943  ],
      dtype=float32), 'avg_EF': 40.19863}",256,0.05
