precision,trace,eigenvalue,batch_size,learning_rate
8,609838.036702474,2100.585164388021,512,0.0015625
8,0.0,0.0,1024,0.1
8,-5.556655129000419e-31,-1.2081369526809299e-34,1024,0.05
8,-1.0263951005423655e-05,-9.904095795339647e-08,1024,0.025
8,2192200.30078125,6780.44287109375,1024,0.0125
8,466390.90177408856,1160.1253458658855,1024,0.00625
8,440130.3645833333,1258.8631591796875,1024,0.003125
8,716925.6369628906,2152.433064778646,1024,0.0015625
9,0.0,0.0,16,0.1
9,527673769.8333333,3528167.4166666665,16,0.05
9,1191478.7016601562,9166.92041015625,16,0.025
9,474652.28597005206,982.8809204101562,16,0.0125
9,16776631.6171875,31860.364583333332,16,0.00625
9,2693215.3626302085,4857.410563151042,16,0.003125
9,1539442.8829752605,2605.8453776041665,16,0.0015625
9,0.0,0.0,32,0.1
9,-5.911070085072537e-20,-3.431900937490246e-23,32,0.05
9,-126902987.27083333,-1366007.625,32,0.025
9,203032.3617960612,567.2776590983073,32,0.0125
9,1333773.1974283855,2506.691691080729,32,0.00625
9,2638259.748046875,5185.872965494792,32,0.003125
9,3063655.9466145835,5610.58203125,32,0.0015625
9,0.0,0.0,64,0.1
9,-3.9390628565925515e-32,-4.7092182973442943e-36,64,0.05
9,1797738.9358723958,5712.051839192708,64,0.025
9,12507904.255208334,16520.380533854168,64,0.0125
9,3337542.45703125,5835.143880208333,64,0.00625
9,3654279.554361979,10061.289388020834,64,0.003125
9,1075407.8133951824,2530.2960205078125,64,0.0015625
9,0.0,0.0,128,0.1
9,-1.6243021641590724e-34,-3.534736102534391e-37,128,0.05
9,1523171.142578125,3761.1512858072915,128,0.025
9,9810775.647135416,16585.975911458332,128,0.0125
9,1335760.0504557292,3349.6793619791665,128,0.00625
9,3364627.1458333335,6653.937662760417,128,0.003125
9,2324048.7044270835,4944.784505208333,128,0.0015625
9,0.0,0.0,256,0.1
9,-3.487908289289091e-25,-6.686989938159261e-29,256,0.05
9,-0.008381283900417221,-7.492501754313707e-05,256,0.025
9,4680572.020182292,8112.576171875,256,0.0125
9,4052813.3489583335,7956.186848958333,256,0.00625
9,2215379.7833658853,5900.647135416667,256,0.003125
9,1132313.953938802,3440.2023111979165,256,0.0015625
9,-0.0013348224094992627,-1.1975300973669315e-05,512,0.1
9,-7.351804488301721e-17,-1.2280452735482138e-20,512,0.05
9,-6.434511741868858e-05,-6.476804325454092e-07,512,0.025
9,1800603.9778645833,4539.92431640625,512,0.0125
9,3009966.2024739585,7086.945638020833,512,0.00625
9,1001963.2344563802,2316.1055501302085,512,0.003125
9,2146153.7739257812,6004.166910807292,512,0.0015625
9,0.0,0.0,1024,0.1
9,-4.937444927289935e-29,-5.975278528156386e-34,1024,0.05
9,-1.7536905193093295e-07,-1.6446639235686196e-09,1024,0.025
9,3522513.7275390625,7816.103352864583,1024,0.0125
9,898681.3092447916,2556.749267578125,1024,0.00625
9,1577220.9271647136,4652.028157552083,1024,0.003125
9,994637.1440022787,3568.659423828125,1024,0.0015625
10,0.0,0.0,16,0.1
10,-2.84311839558167e-13,-1.184512110785653e-16,16,0.05
10,12524763.80859375,43203.017578125,16,0.025
10,8734399.618489584,23354.827473958332,16,0.0125
10,2196320.2532552085,7302.365559895833,16,0.00625
10,3202809.6396484375,6877.229166666667,16,0.003125
10,3083455.236328125,5321.768961588542,16,0.0015625
10,0.0,0.0,32,0.1
10,-3.114252598527635e-31,-2.8539094620715547e-35,32,0.05
10,1.258655309677124,0.6293266415596008,32,0.025
10,134648.0786444346,1690.0937093098958,32,0.0125
10,7897430.196614583,15727.4150390625,32,0.00625
10,3758864.1998697915,8380.467529296875,32,0.003125
10,4826974.3984375,9215.900716145834,32,0.0015625
10,0.0,0.0,64,0.1
10,-9.89817232753327e-19,-5.276992907558519e-22,64,0.05
10,8776189.5234375,26746.061197916668,64,0.025
10,262741.7449951172,564.6775207519531,64,0.0125
10,2217609.1946614585,4918.100504557292,64,0.00625
10,7608359.2578125,18662.872395833332,64,0.003125
10,5651950.158854167,12852.640299479166,64,0.0015625
10,0.0,0.0,128,0.1
10,-3.0690379264768355e-31,-1.3530515384745144e-34,128,0.05
10,54589291.71875,141351.82291666666,128,0.025
10,18604863.817708332,26662.375651041668,128,0.0125
10,10990803.33984375,20990.3671875,128,0.00625
10,5629327.375,12460.871256510416,128,0.003125
10,5560394.796223958,13937.36083984375,128,0.0015625
10,-2.9782424449729494e-14,-2.8748501923036795e-18,256,0.1
10,-1.0535146926444534e-19,-3.615406510680618e-23,256,0.05
10,0.36729955673217773,0.18364944060643515,256,0.025
10,12183778.840494791,28964.744791666668,256,0.0125
10,11387045.842447916,19754.697916666668,256,0.00625
10,3988236.0791015625,9708.091634114584,256,0.003125
10,5132140.077473958,13884.554361979166,256,0.0015625
10,0.0,0.0,512,0.1
10,-5.541912832129849e-28,-3.750848444530817e-31,512,0.05
10,-2.7615045690663567e-06,-2.5508935408424804e-08,512,0.025
10,2947468.9947916665,9556.734212239584,512,0.0125
10,5874433.27734375,18043.7724609375,512,0.00625
10,2177146.9147135415,7811.576822916667,512,0.003125
10,6736317.76953125,26508.643229166668,512,0.0015625
10,0.0,0.0,1024,0.1
10,-5.126986024487953e-32,-3.907449693911642e-36,1024,0.05
10,10696479.184895834,35778.185546875,1024,0.025
10,3629094.1875,8976.544108072916,1024,0.0125
10,5728518.100911458,17709.588541666668,1024,0.00625
10,735446.2024332682,2837.0762532552085,1024,0.003125
10,726500.6388549805,3014.402384440104,1024,0.0015625
11,0.0,0.0,16,0.1
11,-1.6648041447330804e-22,-8.858683017014458e-26,16,0.05
11,1257984259.0,3965788.6666666665,16,0.025
11,108569782.1875,162429.0625,16,0.0125
11,7002751.302083333,13199.974283854166,16,0.00625
11,4087139.48828125,6787.589029947917,16,0.003125
11,2301824.3720703125,4511.872151692708,16,0.0015625
11,0.0,0.0,32,0.1
11,-2.571129203078403e-19,-4.498759226167356e-23,32,0.05
11,202806786.02083334,543741.6041666666,32,0.025
11,52124011.760416664,81560.49739583333,32,0.0125
11,69650085.9375,85221.41015625,32,0.00625
11,22643769.419270832,55019.529947916664,32,0.003125
11,9780273.98828125,16403.336588541668,32,0.0015625
11,0.0,0.0,64,0.1
11,-4.476654919132982e-34,-5.233878070482171e-38,64,0.05
11,94863153.46875,218741.58333333334,64,0.025
11,24327006.770833332,42410.695963541664,64,0.0125
11,22257115.372395832,39031.735677083336,64,0.00625
11,29336142.7890625,53631.320963541664,64,0.003125
11,10414316.114583334,23012.811197916668,64,0.0015625
11,0.0,0.0,128,0.1
11,-5.634398980850137e-23,-1.0318487858235478e-26,128,0.05
11,29015483.41796875,148964.3671875,128,0.025
11,54741776.411458336,94743.61979166667,128,0.0125
11,19852180.7734375,38219.688802083336,128,0.00625
11,3868529.6282552085,10094.009114583334,128,0.003125
11,7576649.638020833,21614.681640625,128,0.0015625
11,0.0,0.0,256,0.1
11,-2.7331181622284675e-35,-7.181425283816026e-39,256,0.05
11,-1.5892540458144517e-07,-1.633506737282649e-09,256,0.025
11,26257634.5,56176.0546875,256,0.0125
11,26905438.41015625,56522.945963541664,256,0.00625
11,5383882.4137369795,15707.275390625,256,0.003125
11,821721.5755208334,3221.0103352864585,256,0.0015625
11,0.0,0.0,512,0.1
11,-2.750204215487858e-11,-1.6500200930187783e-15,512,0.05
11,-0.0012636517872059254,-1.2531906274186136e-05,512,0.025
11,39526921.104166664,80236.82942708333,512,0.0125
11,10110669.201822916,29029.185546875,512,0.00625
11,4356404.8492838545,16836.999348958332,512,0.003125
11,1511695.5855305989,5224.451334635417,512,0.0015625
11,0.0,0.0,1024,0.1
11,-9.666291535270472e-23,-2.8245175528744847e-26,1024,0.05
11,-0.001585613084934323,-1.5738996201738093e-05,1024,0.025
11,2523742.816731771,8023.5205078125,1024,0.0125
11,2960867.2392578125,9692.564290364584,1024,0.00625
11,1761166.9566243489,9457.437337239584,1024,0.003125
11,1269261.6400553386,4221.390462239583,1024,0.0015625
