precision,avg_cka,batch_size,learning_rate
10,0.428350037170781,512,0.0125
10,0.7760485708713531,512,0.00625
10,0.6956932296355566,512,0.003125
10,0.8121733433670467,512,0.0015625
10,0.0,1024,0.1
10,0.5916599055959119,1024,0.05
10,0.4141641760038005,1024,0.025
10,0.5380706290404002,1024,0.0125
10,0.6542271193530824,1024,0.00625
10,0.7673097451527914,1024,0.003125
10,0.7883517444133759,1024,0.0015625
11,0.0,16,0.1
11,0.1902583854066001,16,0.05
11,0.13538866076204512,16,0.025
11,0.44730598562293583,16,0.0125
11,0.5454218486944834,16,0.00625
11,0.6444072243240144,16,0.003125
11,0.6961279561122259,16,0.0015625
11,0.0,32,0.1
11,0.8559805494215753,32,0.05
11,0.28451836792131263,32,0.025
11,0.5559363183048036,32,0.0125
11,0.5883585496081246,32,0.00625
11,0.6603640053007338,32,0.003125
11,0.7021073185735278,32,0.0015625
11,0.0,64,0.1
11,0.4527319040563371,64,0.05
11,0.30578580043382114,64,0.025
11,0.6373860736687978,64,0.0125
11,0.5807482567098405,64,0.00625
11,0.6270960569381714,64,0.003125
11,0.7052551507949829,64,0.0015625
11,0.0,128,0.1
11,0.37597156316041946,128,0.05
11,0.4851882714364264,128,0.025
11,0.635483604338434,128,0.0125
11,0.5214584519465765,128,0.00625
11,0.6404160277711021,128,0.003125
11,0.7146355426973767,128,0.0015625
11,0.0,256,0.1
11,0.2516581647925907,256,0.05
11,0.908154868417316,256,0.025
11,0.5182078149583604,256,0.0125
11,0.5854552040497462,256,0.00625
11,0.7405582302146487,256,0.003125
11,0.7189313371976217,256,0.0015625
11,0.1416620924654934,512,0.1
11,0.7248055537541708,512,0.05
11,0.6189645317693552,512,0.025
11,0.5282664597034454,512,0.0125
11,0.6766988039016724,512,0.00625
11,0.6871669540802637,512,0.003125
11,0.7528147498766581,512,0.0015625
11,0.0,1024,0.1
11,0.8398605928652816,1024,0.05
11,0.8472102681795757,1024,0.025
11,0.5744743711418575,1024,0.0125
11,0.7099275059170194,1024,0.00625
11,0.678422725862927,1024,0.003125
11,0.7469083335664537,1024,0.0015625
