precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,type
10,1.2158495982487996,2.119507114092509,2.359686851501465,2.518774231274923,2.6339232126871743,128,0.0015625,lambda JR 0.1
11,1.2750270764033,2.1840845346450806,2.4451228777567544,2.6074229876200357,2.714046359062195,128,0.0015625,lambda JR 0.1
2,2.969059467315674,3.1463452180226645,3.28949236869812,3.414408286412557,3.523641347885132,128,0.0015625,lambda JR 0.01
3,1.4618956247965496,2.3591059843699136,2.587625583012899,2.795713464419047,2.9466126362482705,128,0.0015625,lambda JR 0.01
4,1.4469748735427856,2.3153075774510703,2.5414230028788247,2.717802405357361,2.831728935241699,128,0.0015625,lambda JR 0.01
5,1.3129221598307292,2.290152827898661,2.5674301783243814,2.7383981148401895,2.8436989784240723,128,0.0015625,lambda JR 0.01
6,1.244892994562785,2.303607702255249,2.59408175945282,2.7631704012552896,2.873633861541748,128,0.0015625,lambda JR 0.01
7,1.254256288210551,2.2114410400390625,2.475364883740743,2.624993681907654,2.720286726951599,128,0.0015625,lambda JR 0.01
8,1.2731372117996216,2.265116810798645,2.5435816049575806,2.7169695297876992,2.8326948483784995,128,0.0015625,lambda JR 0.01
9,1.2524321873982747,2.132258931795756,2.383404493331909,2.5422040224075317,2.6527727842330933,128,0.0015625,lambda JR 0.01
10,1.323716163635254,2.1787812312444053,2.465099851290385,2.6344096263249717,2.74166202545166,128,0.0015625,lambda JR 0.01
11,1.2009669144948323,2.2037775913874307,2.467807332674662,2.6138959725697837,2.7083146572113037,128,0.0015625,lambda JR 0.01
2,2.990877389907837,3.2639194329579673,3.369684378306071,3.467036247253418,3.5452370643615723,128,0.0015625,lambda JR 0.001
3,1.6507816314697266,2.391073703765869,2.5918778578440347,2.761512597401937,2.891567826271057,128,0.0015625,lambda JR 0.001
4,1.381007154782613,2.290825088818868,2.527555823326111,2.7052173614501953,2.8247048457463584,128,0.0015625,lambda JR 0.001
5,1.565329869588216,2.2784122228622437,2.553789178530375,2.7343720197677612,2.8575541575749717,128,0.0015625,lambda JR 0.001
6,1.2836814324061077,2.3068062464396157,2.6284556786219277,2.807153026262919,2.9110125303268433,128,0.0015625,lambda JR 0.001
7,1.221163312594096,2.273898720741272,2.5652427673339844,2.7164697647094727,2.8017179568608603,128,0.0015625,lambda JR 0.001
8,1.4366457064946492,2.361728390057882,2.665534019470215,2.805379947026571,2.8812851905822754,128,0.0015625,lambda JR 0.001
9,1.208613435427348,2.3315862019856772,2.608558019002279,2.7526315450668335,2.8384315570195517,128,0.0015625,lambda JR 0.001
10,1.203263282775879,2.3038349946339927,2.581881125768026,2.7185041507085166,2.800312797228495,128,0.0015625,lambda JR 0.001
11,1.254533092180888,2.2570090293884277,2.526207367579142,2.678115963935852,2.7716002464294434,128,0.0015625,lambda JR 0.001
2,2.9383064905802407,3.1782886187235513,3.2957607905069985,3.3950486183166504,3.479710817337036,128,0.0015625,lambda JR 0.0001
3,1.5870404640833538,2.3803268671035767,2.608544945716858,2.8139464060465493,2.9663283030192056,128,0.0015625,lambda JR 0.0001
4,1.3153865337371826,2.2533918221791587,2.4887155294418335,2.649387240409851,2.75955323378245,128,0.0015625,lambda JR 0.0001
5,1.3153812885284424,2.3363369703292847,2.674180785814921,2.867000937461853,2.969927708307902,128,0.0015625,lambda JR 0.0001
6,1.3055818478266399,2.371679147084554,2.7307506799697876,2.893663167953491,2.9842692216237388,128,0.0015625,lambda JR 0.0001
7,1.3113282918930054,2.713987628618876,3.026724100112915,3.1650118827819824,3.2415286699930825,128,0.0015625,lambda JR 0.0001
8,1.3330703576405842,2.6516528924306235,2.915907104810079,3.038771470387777,3.121235410372416,128,0.0015625,lambda JR 0.0001
9,1.2467639048894246,2.748353282610575,3.082234342892965,3.227912704149882,3.314925034840902,128,0.0015625,lambda JR 0.0001
10,1.2917323509852092,2.4401840766270957,2.712053100268046,2.8541148900985718,2.936262766520182,128,0.0015625,lambda JR 0.0001
11,1.2380404472351074,2.3411415020624795,2.594652016957601,2.724885861078898,2.8057307402292886,128,0.0015625,lambda JR 0.0001
2,3.2495014667510986,3.384401321411133,3.53212833404541,3.669619003931681,3.782088359196981,256,0.0015625,lambda JR 0.1
3,1.6592296759287517,2.425308187802633,2.620056947072347,2.780834754308065,2.907241145769755,256,0.0015625,lambda JR 0.1
4,1.4085989793141682,2.3062932888666787,2.5354933738708496,2.705578883488973,2.833081007003784,256,0.0015625,lambda JR 0.1
5,1.2718534469604492,2.2228580713272095,2.483227094014486,2.65498157342275,2.7798455953598022,256,0.0015625,lambda JR 0.1
6,1.3731744686762493,2.2572447856267295,2.548123836517334,2.7301566998163858,2.840418219566345,256,0.0015625,lambda JR 0.1
7,1.4282431999842327,2.279667099316915,2.553476174672445,2.7493985891342163,2.888791481653849,256,0.0015625,lambda JR 0.1
8,1.304017464319865,2.1997419198354087,2.4697038332621255,2.643243392308553,2.761398514111837,256,0.0015625,lambda JR 0.1
9,1.4715112845102947,2.240314761797587,2.508758227030436,2.673543413480123,2.784634828567505,256,0.0015625,lambda JR 0.1
10,1.3399256070454915,2.1762032508850098,2.450325886408488,2.6174062887827554,2.728907306989034,256,0.0015625,lambda JR 0.1
11,1.5094008445739746,2.2999823093414307,2.592030644416809,2.772097190221151,2.892996390660604,256,0.0015625,lambda JR 0.1
2,2.8772288958231607,3.202389637629191,3.3650585810343423,3.4964993794759116,3.605920394261678,256,0.0015625,lambda JR 0.01
3,1.514414389928182,2.4120835860570273,2.6236135959625244,2.8022484381993613,2.936706225077311,256,0.0015625,lambda JR 0.01
4,1.4781478643417358,2.3659578561782837,2.6129070123036704,2.7889817555745444,2.9035020669301352,256,0.0015625,lambda JR 0.01
