precision,net_efficiency,batch_size,learning_rate
8,0.48306199306395264,64,0.00625
8,0.4872052768874402,64,0.003125
8,0.3710899147214989,64,0.0015625
8,0.0009860991930710143,128,0.1
8,0.0007152614364555029,128,0.05
8,0.0854980497535793,128,0.025
8,0.44951581194168017,128,0.0125
8,0.45996815510404976,128,0.00625
8,0.4992353440713698,128,0.003125
8,0.4147517774100226,128,0.0015625
8,5.472478697932525e-05,256,0.1
8,5.472478697932525e-05,256,0.05
8,0.05497623669000275,256,0.025
8,0.4461791496835109,256,0.0125
8,0.4242848924340646,256,0.00625
8,0.4087262660344525,256,0.003125
8,0.37246853626017756,256,0.0015625
8,0.00013338144300038067,512,0.1
8,5.472478697932525e-05,512,0.05
8,0.010358784893710704,512,0.025
8,0.4889392118990734,512,0.0125
8,0.3928165651187987,512,0.00625
8,0.3694055080667264,512,0.003125
8,0.38163659636214914,512,0.0015625
8,0.0005839655724334597,1024,0.1
8,0.007941871352744101,1024,0.05
8,0.005869139651049533,1024,0.025
8,0.535822021397948,1024,0.0125
8,0.3308343318164367,1024,0.00625
8,0.29433365068947503,1024,0.003125
8,0.28351050987545456,1024,0.0015625
9,0.001810526185017142,16,0.1
9,0.23701499113818164,16,0.05
9,0.12333868071059059,16,0.025
9,0.45811474207497754,16,0.0125
9,0.5701306558061671,16,0.00625
9,0.5282902080788136,16,0.003125
9,0.4565932016817511,16,0.0015625
9,5.472478697932525e-05,32,0.1
9,5.472478697932525e-05,32,0.05
9,0.18332043301319986,32,0.025
9,0.46059219000898644,32,0.0125
9,0.49973559958696934,32,0.00625
9,0.4973301245341903,32,0.003125
9,0.4118837519907508,32,0.0015625
9,0.04453128818618941,64,0.1
9,0.0015489477462735898,64,0.05
9,0.3979663518603977,64,0.025
9,0.4456381250117276,64,0.0125
9,0.4147904336163,64,0.00625
9,0.44697649655846466,64,0.003125
9,0.41996762276765975,64,0.0015625
9,5.472478697932525e-05,128,0.1
9,0.0024674155661305857,128,0.05
9,0.14535440272760103,128,0.025
9,0.5338236170953565,128,0.0125
9,0.4232047374927413,128,0.00625
9,0.3979972799388677,128,0.003125
9,0.39850120667909655,128,0.0015625
9,0.004897561064060807,256,0.1
9,0.025076325806430978,256,0.05
9,0.045457302873837806,256,0.025
9,0.5053680080059049,256,0.0125
9,0.3737955821199322,256,0.00625
9,0.4154151346237846,256,0.003125
9,0.38515470972235283,256,0.0015625
9,0.045707147026050554,512,0.1
9,5.472478697932525e-05,512,0.05
9,0.0026141924768602184,512,0.025
9,0.3569546990805503,512,0.0125
9,0.4100822166106536,512,0.00625
9,0.37228218405171537,512,0.003125
9,0.3644305491699791,512,0.0015625
9,0.0052596697659428515,1024,0.1
9,0.005502606849339936,1024,0.05
9,0.07865644864146792,1024,0.025
9,0.353326723242282,1024,0.0125
9,0.4018225111413894,1024,0.00625
9,0.3683131199768085,1024,0.003125
9,0.25237651278426515,1024,0.0015625
10,0.12695597619683166,16,0.1
10,0.04479520812261186,16,0.05
10,0.17161175571130047,16,0.025
10,0.5269056378799826,16,0.0125
10,0.5062300660781442,16,0.00625
10,0.5532153022914778,16,0.003125
10,0.4062805986247257,16,0.0015625
10,0.004090203982331487,32,0.1
10,0.019046427728089198,32,0.05
10,5.472478697932525e-05,32,0.025
10,0.459992624771065,32,0.0125
10,0.42580445633853453,32,0.00625
10,0.476849156084753,32,0.003125
10,0.42847594430942926,32,0.0015625
10,0.0007430323284233175,64,0.1
10,0.018524066794842912,64,0.05
10,0.23797459064254217,64,0.025
10,0.3935274370014344,64,0.0125
10,0.5029325063255601,64,0.00625
10,0.4692828487819943,64,0.003125
10,0.4022229063569536,64,0.0015625
